Timestamp;Date;Time;Date_time;ms;LEVEL;TEMPERATURE;CON_UCTIVITY;relative level
43365,13;2018-09-22;03:00:00;2018-09-22 03:00;0;7,36;6,6;352;0,057
43365,17;2018-09-22;04:00:00;2018-09-22 04:00;0;7,362;6,6;351;0,059
43365,21;2018-09-22;05:00:00;2018-09-22 05:00;0;7,369;6,6;352;0,066
43365,25;2018-09-22;06:00:00;2018-09-22 06:00;0;7,365;6,6;352;0,062
43365,29;2018-09-22;07:00:00;2018-09-22 07:00;0;7,354;6,6;352;0,051
43365,33;2018-09-22;08:00:00;2018-09-22 08:00;0;7,367;6,6;351;0,064
43365,38;2018-09-22;09:00:00;2018-09-22 09:00;0;7,363;6,6;352;0,06
43365,42;2018-09-22;10:00:00;2018-09-22 10:00;0;7,362;6,6;351;0,059
43365,46;2018-09-22;11:00:00;2018-09-22 11:00;0;7,351;6,6;352;0,048
43365,50;2018-09-22;12:00:00;2018-09-22 12:00;0;7,378;6,6;352;0,075
43365,54;2018-09-22;13:00:00;2018-09-22 13:00;0;7,365;6,6;352;0,062
43365,58;2018-09-22;14:00:00;2018-09-22 14:00;0;7,37;6,6;352;0,067
43365,63;2018-09-22;15:00:00;2018-09-22 15:00;0;7,376;6,6;352;0,073
43365,67;2018-09-22;16:00:00;2018-09-22 16:00;0;7,352;6,6;352;0,049
43365,71;2018-09-22;17:00:00;2018-09-22 17:00;0;7,357;6,6;352;0,054
43365,75;2018-09-22;18:00:00;2018-09-22 18:00;0;7,358;6,6;352;0,055
43365,79;2018-09-22;19:00:00;2018-09-22 19:00;0;7,357;6,6;352;0,054
43365,83;2018-09-22;20:00:00;2018-09-22 20:00;0;7,354;6,6;352;0,051
43365,88;2018-09-22;21:00:00;2018-09-22 21:00;0;7,358;6,6;352;0,055
43365,92;2018-09-22;22:00:00;2018-09-22 22:00;0;7,369;6,6;352;0,066
43365,96;2018-09-22;23:00:00;2018-09-22 23:00;0;7,354;6,6;352;0,051
43366,00;2018-09-23;00:00:00;2018-09-23 00:00;0;7,363;6,6;352;0,06
43366,04;2018-09-23;01:00:00;2018-09-23 01:00;0;7,368;6,6;352;0,065
43366,08;2018-09-23;02:00:00;2018-09-23 02:00;0;7,354;6,6;352;0,051
43366,13;2018-09-23;03:00:00;2018-09-23 03:00;0;7,379;6,6;352;0,076
43366,17;2018-09-23;04:00:00;2018-09-23 04:00;0;7,357;6,6;352;0,054
43366,21;2018-09-23;05:00:00;2018-09-23 05:00;0;7,377;6,6;352;0,074
43366,25;2018-09-23;06:00:00;2018-09-23 06:00;0;7,37;6,6;352;0,067
43366,29;2018-09-23;07:00:00;2018-09-23 07:00;0;7,375;6,6;352;0,072
43366,33;2018-09-23;08:00:00;2018-09-23 08:00;0;7,361;6,6;352;0,058
43366,38;2018-09-23;09:00:00;2018-09-23 09:00;0;7,387;6,6;352;0,084
43366,42;2018-09-23;10:00:00;2018-09-23 10:00;0;7,367;6,6;352;0,064
43366,46;2018-09-23;11:00:00;2018-09-23 11:00;0;7,37;6,6;352;0,067
43366,50;2018-09-23;12:00:00;2018-09-23 12:00;0;7,367;6,6;352;0,064
43366,54;2018-09-23;13:00:00;2018-09-23 13:00;0;7,373;6,6;352;0,07
43366,58;2018-09-23;14:00:00;2018-09-23 14:00;0;7,354;6,6;352;0,051
43366,63;2018-09-23;15:00:00;2018-09-23 15:00;0;7,379;6,6;352;0,076
43366,67;2018-09-23;16:00:00;2018-09-23 16:00;0;7,375;6,6;352;0,072
43366,71;2018-09-23;17:00:00;2018-09-23 17:00;0;7,363;6,6;352;0,06
43366,75;2018-09-23;18:00:00;2018-09-23 18:00;0;7,359;6,6;352;0,056
43366,79;2018-09-23;19:00:00;2018-09-23 19:00;0;7,352;6,6;353;0,049
43366,83;2018-09-23;20:00:00;2018-09-23 20:00;0;7,366;6,6;352;0,063
43366,88;2018-09-23;21:00:00;2018-09-23 21:00;0;7,378;6,6;352;0,075
43366,92;2018-09-23;22:00:00;2018-09-23 22:00;0;7,383;6,6;352;0,08
43366,96;2018-09-23;23:00:00;2018-09-23 23:00;0;7,385;6,6;351;0,082
43367,00;2018-09-24;00:00:00;2018-09-24 00:00;0;7,376;6,6;352;0,073
43367,04;2018-09-24;01:00:00;2018-09-24 01:00;0;7,362;6,6;352;0,059
43367,08;2018-09-24;02:00:00;2018-09-24 02:00;0;7,359;6,6;352;0,056
43367,13;2018-09-24;03:00:00;2018-09-24 03:00;0;7,387;6,6;352;0,084
43367,17;2018-09-24;04:00:00;2018-09-24 04:00;0;7,377;6,6;352;0,074
43367,21;2018-09-24;05:00:00;2018-09-24 05:00;0;7,368;6,6;352;0,065
43367,25;2018-09-24;06:00:00;2018-09-24 06:00;0;7,359;6,6;352;0,056
43367,29;2018-09-24;07:00:00;2018-09-24 07:00;0;7,374;6,6;352;0,071
43367,33;2018-09-24;08:00:00;2018-09-24 08:00;0;7,364;6,6;352;0,061
43367,38;2018-09-24;09:00:00;2018-09-24 09:00;0;7,377;6,6;352;0,074
43367,42;2018-09-24;10:00:00;2018-09-24 10:00;0;7,354;6,6;352;0,051
43367,46;2018-09-24;11:00:00;2018-09-24 11:00;0;7,341;6,6;352;0,038
43367,50;2018-09-24;12:00:00;2018-09-24 12:00;0;7,354;6,6;352;0,051
43367,54;2018-09-24;13:00:00;2018-09-24 13:00;0;7,373;6,6;352;0,07
43367,58;2018-09-24;14:00:00;2018-09-24 14:00;0;7,367;6,6;352;0,064
43367,63;2018-09-24;15:00:00;2018-09-24 15:00;0;7,385;6,6;352;0,082
43367,67;2018-09-24;16:00:00;2018-09-24 16:00;0;7,369;6,6;352;0,066
43367,71;2018-09-24;17:00:00;2018-09-24 17:00;0;7,361;6,6;352;0,058
43367,75;2018-09-24;18:00:00;2018-09-24 18:00;0;7,36;6,6;352;0,057
43367,79;2018-09-24;19:00:00;2018-09-24 19:00;0;7,37;6,6;353;0,067
43367,83;2018-09-24;20:00:00;2018-09-24 20:00;0;7,369;6,6;352;0,066
43367,88;2018-09-24;21:00:00;2018-09-24 21:00;0;7,361;6,6;353;0,058
